"Time","slipstream_internal/slipstream_hq/1100/Cooling Capacity Status"
2021-08-09 00:00:01,0
2021-08-09 00:01:01,0
2021-08-09 00:02:01,0
2021-08-09 00:03:01,0
2021-08-09 00:04:01,0
2021-08-09 00:05:01,0
2021-08-09 00:06:01,0
2021-08-09 00:07:01,0
2021-08-09 00:08:01,0
2021-08-09 00:09:01,0
2021-08-09 00:10:01,0
2021-08-09 00:11:01,0
2021-08-09 00:12:01,0
2021-08-09 00:13:01,0
2021-08-09 00:14:01,0
2021-08-09 00:15:01,0
2021-08-09 00:16:01,0
2021-08-09 00:17:01,0
2021-08-09 00:18:01,0
2021-08-09 00:19:01,0
2021-08-09 00:20:01,0
2021-08-09 00:21:01,0
2021-08-09 00:22:01,0
2021-08-09 00:23:02,0
2021-08-09 00:24:01,0
2021-08-09 00:25:01,0
2021-08-09 00:26:01,0
2021-08-09 00:27:01,0
2021-08-09 00:28:01,0
2021-08-09 00:29:01,0
2021-08-09 00:30:01,0
2021-08-09 00:31:01,0
2021-08-09 00:32:01,0
2021-08-09 00:33:01,0
2021-08-09 00:34:01,0
2021-08-09 00:35:01,0
2021-08-09 00:36:01,0
2021-08-09 00:37:01,0
2021-08-09 00:38:01,0
2021-08-09 00:39:01,0
2021-08-09 00:40:01,0
2021-08-09 00:41:01,0
2021-08-09 00:42:01,0
2021-08-09 00:43:01,0
2021-08-09 00:44:01,0
2021-08-09 00:45:01,0
2021-08-09 00:46:02,0
2021-08-09 00:47:01,0
2021-08-09 00:48:01,0
2021-08-09 00:49:02,0
2021-08-09 00:50:01,0
2021-08-09 00:51:01,0
2021-08-09 00:52:02,0
2021-08-09 00:53:01,0
2021-08-09 00:54:01,0
2021-08-09 00:55:01,0
2021-08-09 00:56:01,0
2021-08-09 00:57:01,0
2021-08-09 00:58:01,0
2021-08-09 00:59:01,0
2021-08-09 01:00:01,0
2021-08-09 01:01:01,0
2021-08-09 01:02:01,0
2021-08-09 01:03:01,0
2021-08-09 01:04:01,0
2021-08-09 01:05:01,0
2021-08-09 01:06:01,0
2021-08-09 01:07:01,0
2021-08-09 01:08:01,0
2021-08-09 01:09:01,0
2021-08-09 01:10:01,0
2021-08-09 01:11:01,0
2021-08-09 01:12:01,0
2021-08-09 01:13:01,0
2021-08-09 01:14:01,0
2021-08-09 01:15:01,0
2021-08-09 01:16:01,0
2021-08-09 01:17:01,0
2021-08-09 01:18:02,0
2021-08-09 01:19:01,0
2021-08-09 01:20:01,0
2021-08-09 01:21:01,0
2021-08-09 01:22:01,0
2021-08-09 01:23:01,0
2021-08-09 01:24:01,0
2021-08-09 01:25:01,0
2021-08-09 01:26:01,0
2021-08-09 01:27:01,0
2021-08-09 01:28:01,0
2021-08-09 01:29:01,0
2021-08-09 01:30:01,0
2021-08-09 01:31:01,0
2021-08-09 01:32:01,0
2021-08-09 01:33:01,0
2021-08-09 01:34:01,0
2021-08-09 01:35:01,0
2021-08-09 01:36:01,0
2021-08-09 01:37:01,0
2021-08-09 01:38:01,0
2021-08-09 01:39:01,0
2021-08-09 01:40:01,0
2021-08-09 01:41:01,0
2021-08-09 01:42:01,0
2021-08-09 01:43:01,0
2021-08-09 01:44:01,0
2021-08-09 01:45:01,0
2021-08-09 01:46:01,0
2021-08-09 01:47:01,0
2021-08-09 01:48:01,0
2021-08-09 01:49:01,0
2021-08-09 01:50:01,0
2021-08-09 01:51:01,0
2021-08-09 01:52:01,0
2021-08-09 01:53:01,0
2021-08-09 01:54:01,0
2021-08-09 01:55:01,0
2021-08-09 01:56:01,0
2021-08-09 01:57:01,0
2021-08-09 01:58:01,0
2021-08-09 01:59:01,0
2021-08-09 02:00:01,0
2021-08-09 02:01:01,0
2021-08-09 02:02:01,0
2021-08-09 02:03:01,0
2021-08-09 02:04:01,0
2021-08-09 02:05:01,0
2021-08-09 02:06:01,0
2021-08-09 02:07:01,0
